LGU,P1,P2,P3
KIDAPAWAN CITY,4,0,3
MIDSAYAP,3,2,1
ALAMADA,0,1,4
KABACAN,1,2,1
MAGPET,0,4,0
PRESIDENT ROXAS,2,0,1
M'LANG,1,1,0
MAKILALA,0,0,2
MATALAM,1,0,0
ALEOSAN,0,0,0
ANTIPAS,0,0,0
ARAKAN,0,0,0
BANISILAN,0,0,0
CARMEN,0,0,0
LIBUNGAN,0,0,0
PIGCAWAYAN,0,0,0
PIKIT,0,0,0
TULUNAN,0,0,0
