LGU,P1,P2,P3
GLAN,2,1,0
MAASIM,0,1,2
ALABEL,1,1,0
MAITUM,1,0,1
KIAMBA,0,1,0
MALUNGON,0,0,0
MALAPATAN,0,0,0
