LGU,Population_2015,Latitude,Longitude,Type,pop_source,coord_status
Glan,104000,5.8242,125.2033,municipality,PROVISIONAL_APPROX,geonames
Malungon,96000,6.2726,125.279,municipality,PROVISIONAL_APPROX,estimate_gap
Alabel,79000,6.1018,125.2905,municipality (capital),PROVISIONAL_APPROX,geonames
Malapatan,78000,5.9692,125.2894,municipality,PROVISIONAL_APPROX,geonames
Kiamba,63000,5.9894,124.6242,municipality,PROVISIONAL_APPROX,geonames
Maasim,52000,5.8686,125.2986,municipality,PROVISIONAL_APPROX,estimate_gap
Maitum,47000,6.0392,124.4986,municipality,PROVISIONAL_APPROX,geonames
