combo,Ws,Wt,Wp,mean_stability,dominant_source_P1_P2_P3,GenSan_Rc,Rt
1,0.33,0.33,0.33,0.532,KORONADAL CITY (4) / KORONADAL CITY (4) / BANGA (4),0/0/0,5.0/2.0/5.0
2,0.1,0.45,0.45,0.518,KORONADAL CITY (4) / KORONADAL CITY (4) / BANGA (4),0/0/0,5.0/2.0/5.0
3,0.45,0.1,0.45,0.527,KORONADAL CITY (4) / SURALLAH (3) / TANTANGAN (3),0/0/0,5.0/2.0/5.0
4,0.25,0.5,0.25,0.547,KORONADAL CITY (3) / KORONADAL CITY (4) / BANGA (4),0/0/0,5.0/2.0/5.0
5,0.15,0.7,0.15,0.526,BANGA (2) / KORONADAL CITY (3) / BANGA (4),0/0/0,5.0/2.0/5.0
6,0.45,0.45,0.1,0.565,KORONADAL CITY (3) / KORONADAL CITY (3) / BANGA (4),0/0/0,5.0/2.0/5.0
7,0.25,0.25,0.5,0.521,KORONADAL CITY (4) / KORONADAL CITY (4) / TANTANGAN (3),0/0/0,5.0/2.0/5.0
8,0.15,0.15,0.7,0.483,KORONADAL CITY (4) / KORONADAL CITY (3) / TANTANGAN (3),0/0/0,5.0/2.0/3.0
