LGU,P1,P2,P3
ISULAN,2,2,0
BAGUMBAYAN,1,2,1
TACURONG CITY,1,1,1
LEBAK,1,1,1
LUTAYAN,0,1,1
LAMBAYONG,1,0,0
COLUMBIO,1,0,0
PALIMBANG,0,0,0
KALAMANSIG,0,0,0
ESPERANZA,0,0,0
PRESIDENT QUIRINO,0,0,0
SEN. NINOY AQUINO,0,0,0
